0,1,2,3,4,5,6,7,8,9
1.0222614014976005E-06;0.00026042497518297244;1.6770571833139208E-06;7.698511789056004E-06,3.155127782400002E-06;0.00016630532612677636;3.155127782400002E-07;3.1551277824000015E-05,0.00015529442255462404;0.0006479752006656002;3.155127782400002E-06;0.0006077242739712001,0.0011871998776369155;0.009234036029448195;0.00012258833218560004;0.0002846295473127261,0.0002782871414410937;0.0013062656942963101;0.0007036211943628802;9.185252801878008E-05,0.00017698856311389847;0.0014233800627701182;0.00016125115812175877;3.641408729210263E-05,8.088853333449338E-05;0.00018186912891978067;0.00024641338055129156;2.7000482462160733E-05,1.3853025221351447E-05;0.00021845371302992397;4.576125516065122E-05;7.922909935185983E-06,4.407147100046248E-06;4.7511679188462564E-05;2.2206564379334747E-05;2.834667368770439E-06,1.989228594988029E-06;6.927074441085752E-06;1.2718601627775131E-05;1.917332238284698E-06
1.2862030231701975E-05;0.00036592468936388455;6.963064974967455E-05;0.0023153985625161016,0;0.01200215042790027;0.00029389794244477575;0.0007366768182484992,0.00011231528696832005;0.004039112825856001;0.002462653888997928;0.006445806425667994,0.002071443112681165;0.04913779091005441;0.0017180461200393831;0.001311274988305613,0.00023681822515421197;0.012405017859900667;0.009448985339997391;0.0005045593989557501,0.00022585350129432407;0.004983699132966959;0.0021300121809878824;0.00042586547639877805,3.098007322726432E-05;0.002377124832934192;0.00034169547664822576;0.00017303809380559028,6.425514317284409E-05;0.0009242638371400064;0.0006230633510137686;4.140165160278459E-05,8.634396852039666E-06;0.00014160657416035632;0.00025659984458155626;3.3141553036106664E-06,1.900793503810325E-06;2.2507773471281693E-05;4.45373876957795E-05;3.973041685360951E-06
4.462330095297726E-05;0.0023978643867124047;0.0007777775742228902;0.0031876130091102054,0.0013488969649123122;0.033640777970034855;0.00010148312801894403;0.013453826643816287,0.0017633475333466032;0.07747316573531997;0.0005637951556608001;0.022810985502720003,0.007813002209452033;0.22047585181286403;0.011382514432008195;0.01077403177356067,0.003253073602620494;0.073997447303532;0.033122961856512007;0.002853506863706821,0.0004927548086830205;0.04245623509983638;0.020458822892221222;0.001075103364307632,0.00034752321725246176;0.00939695068299491;0.0071754660820502626;0.0007260322461538316,0.000187329450260566;0.003872358142070657;0.001896171163595833;6.60358288293687E-05,1.7151231148780027E-05;0.0007980561688993031;0.0004307358409131591;5.2925491298793924E-05,9.288274369789993E-06;0.00021877416299494456;0.00017082654875620167;6.999935342324045E-06
0.0007519615670361177;0.0140295261454123;0.0034827064568365663;0.019552580929976998,0.008504799746512297;0.07718791928155672;0.00456335248282832;0.07994137534472848,0.013346802748714845;0.250094120349696;0.02034182062760913;0.2765263577942262,0.06043893237437891;1.000446739636224;0.07792358763702191;0.06012118043988001,0.0063998788958208016;0.32162345878575516;0.30234894701914306;0.015014309808601502,0.0028407485330000128;0.22530141602232756;0.06719285359129068;0.009094819027584865,0.0014170945761234266;0.04113211229075999;0.053875044546030544;0.0032395520082711257,0.0005077090879773908;0.005478955250645357;0.01646151807660799;0.0011945347323575899,0.00021545948876132854;0.00360503867305926;0.004650149029447163;0.00024500956556295923,4.992114429648013E-05;0.0006280743789548166;0.0012616182181413764;0.0001695616573553418
0.0011353474141151238;0.16055930923692;0.024088232049948432;0.05468181352243201,0.023116626730963118;0.20103230208000006;0.026250584387583938;0.16278585292800002,0.04282231017922561;0.9664805591040001;0.055734806648832014;0.7075175454720001,0.1370072607744;4.445850433536;0.26443649464320007;0.13186742630400003,0.07448052872474513;1.0734414452736;0.6150952704000001;0.19575044927616125,0.0478646363487909;0.7266928584818759;0.23924240478478667;0.04543358797557952,0.014725411919055582;0.16905347083564018;0.11981039961968151;0.004323169060384506,0.0032476773000778255;0.0239886245482827;0.02585594115579151;0.003233364552500574,0.0012966031561505993;0.0019207581888307204;0.010585633637651895;0.0009445070875487572,0.0001388860472730517;0.0020641116065493524;0.0036735388153270147;0.0008254517937351818
0.029145709843431754;0.639630234636988;0.13849788153988055;0.46864297671966726,0.03939844660224001;1.1886853478400001;0.13015558966189425;1.37800331194368,0.21573716490240005;4.782091008;0.13989704448000004;4.2309594624,0.46501583155200005;13.7115098112;0.9459767040000002;0.465042816,0.23956844446924802;4.791251367936;3.2445771264000003;0.800491405903941,0.17604664727353447;2.436552248136959;1.7596013470248468;0.21481458727750904,0.017850554007556918;0.5448015000103591;0.8428929946497783;0.043782169160060086,0.004921648013164512;0.12462797867047651;0.16582541467952128;0.009832710731755501,0.0015558285422076243;0.03360770342566692;0.04032249941709019;0.0010552621417481492,0.0009214722577109077;0.007573251863534391;0.00593957021377547;0.0011327828876309704
0.17625047068120644;0.10497740034367489;0.5339990167792897;1.9732434120012594,0.4598642031530804;0.5923828461173146;0.6194521412113465;5.100187023359999,0.5857220352000001;1.4668935321599998;1.7057056256409597;13.389387264,10;10;10;10,1.5549623398809602;1.8108053544222722;12.98673408;2.123874127656274,0.8016057103740418;0.7015451749909333;5.840366933080985;0.4077292406562817,0.1261323404117115;0.21629297515651913;1.8788404897524353;0.0770591544373248,0.04141975875972119;0.025937488742532714;0.5046823392239617;0.027908230946980826,0.009140524840022809;0.013064938045124149;0.13163859500037245;0.00357916288438852,0.0021483562097852835;0.0007574158079907459;0.031691689878226875;0.011148043730442751
0.376838584283136;0.012875118680703963;0.14419877146214205;0.415330819387392,1.9326309743443968;0.12457714302148609;0.09106903534755842;1.7530979053977598,5.5350524620799995;0.34176078375469054;0.5932991559150798;4.827744913165517,11.06784;1.2853815033446403;1.5408433059839999;2.1113935854286803,5.1638867570688;0.8482554171766142;4.728613632;0.8682375344263059,2.1792273466215555;0.17256659607329577;2.205572227792432;0.09926641647181825,0.639507866514378;0.01927487028995261;0.7740650490015953;0.02128085292252365,0.14506343113210923;0.0074160311388128865;0.16735538599916666;0.0031154995719871862,0.03498264943025475;0.0006742929882458221;0.047339384503139056;0.0015194655333265502,0.006683287957094797;0.00019449793405842093;0.007184883377271855;8.179790674944005E-05
0.04376776213094401;0.01273102201504149;0.0519956690210735;0.19831362440137026,0.65856377899704;0.041087760225392025;0.023857706289820542;0.6003957233345141,1.959445009224106;0.19792605668088517;0.15876627954128586;0.7814584719360003,4.2763535757312;0.4934848309961538;0.43817953295882656;0.5692301700599318,2.133389790565722;0.23927107908150516;1.7046738337181704;0.22534242129580095,0.3403445156044801;0.07755285484058069;0.7692243832596946;0.059202014794491595,0.21760634163784276;0.007450058975584036;0.13585481983838976;0.00716500474347771,0.04640382565396186;0.0005589829395713318;0.005996577426432001;0.0014639642409152065,0.007346485137588777;0.00014793542392675538;0.005606152918514526;0.00030645247939132674,0.0017382991700436836;2.634649624402983E-05;0.0009649100577297412;0.00021621514114602124
0.05288284446463391;0.0063045330422447955;0.012857630308759114;0.04358646146283471,0.12634072280860026;0.04620757783998457;0.009634072774955859;0.15640110875080065,0.6797628038485007;0.1015723533550584;0.04083405398474006;0.4721734046901882,1.250483584099615;0.4734131053873743;0.23058647195966075;0.28704623853142547,0.8463323505245595;0.1692229235499644;0.49834132929008546;0.07853223349844629,0.13939797444683724;0.0747100596129431;0.27751820086495943;0.0135303296414159,0.06763272714010417;0.0022321387566528925;0.04298637849142736;0.0017301806419803933,0.006049257448841742;0.0011215178364859502;0.010377752269798085;0.00014051120602253913,0.0007088484548510084;0.0002359797753227143;0.0009788688747883352;2.3564948106796367E-05,0.00017266134923860695;2.8062063152650966E-05;0.00011720763709738176;1.7674312996023146E-05
